Reference, Value, Footprint,Note,QTY,COST/EACH,COST EXTEND,Note, Datasheet
C1.C2,LGN2W181MELZ45,Solutions:Nichcon_LGN_Series_Capacitor_22x45,,2,$3.33,$6.66,ACTUAL,https://www.mouser.com/ds/2/293/e-lgn-880025.pdf
C10,2.2uF,Capacitors_SMD:C_0805,,1,,$0.00,,
"C11,C12,C13,C14",100nF,Capacitors_SMD:C_0805,,4,,$0.00,,
"C7,C9,C15,C16,C17",1uF,Capacitors_SMD:C_0805,,5,,$0.00,,
C8,2.2uF,Capacitors_SMD:C_0805,,1,,$0.00,,
D1,CD-MBL110S,Solutions:CD-MBLxxxS,,1,$0.22,$0.22,ACTUAL,
"D2,D3,D4",1N4148,Diodes_SMD:SOD-323,,3,,$0.00,,
JS1,JoystickSMD,GaudiLabsFootPrints:JoystickSMD_SKQUSeries,,1,$2.04,$2.04,ESTIMATE,https://octopart.com/search?q=%09SKQUDBE010
LED1,LED,LEDs:LED-0805,,1,,$0.00,,
LED2,LED,GaudiLabsFootPrints:LED_SIDE,,4,$0.47,$1.86,ACTUAL,https://www.digikey.com/products/en?keywords=P14136CT-ND
LED8,LED,LEDs:LED-0805,,1,,$0.00,,
"P1,P2,P3,P5,P7,P8,P9,P10,P11,P12",CONN_01X01,Measurement_Points:Measurement_Point_Square-SMD-Pad_Small,Test Point,10,$0.00,$0.00,,
"P13,P14,P15,P16",ScrewPad1,GaudiLabsFootPrints:MountingHolePad_3x9mm,NPT,4,$0.00,$0.00,,
"Q1,Q2,Q3",BSS138,TO_SOT_Packages_SMD:SOT-23,,3,$0.07,$0.22,ACTUAL,https://www.mouser.com/ProductDetail/ON-Semiconductor-Fairchild/BSS138?qs=sGAEpiMZZMvlOED0T0kTWl5MKyjMqq%2fg
"R5,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R30,",10k,Resistors_SMD:R_0805,,18,,$0.00,,
"R3,",390k,Resistors_SMD:R_0805,,1,,$0.00,,
R31,200k,Resistors_SMD:R_0805,,1,,$0.00,,
"R4,R6",390R,Resistors_SMD:R_0805,,2,,$0.00,,
S1,OLED_DISPLAY,GaudiLabsFootPrints:OLED_096_1,,1,$3.00,$3.00,ESTIMATE,
SP1,SPEAKER,GaudiLabsFootPrints:SMD_PA12_Piezzo,,1,,$0.00,,
"SW1,SW2",SW_PUSH,GaudiLabsFootPrints:PUSH_BUTTON_SMD,,2,,$0.00,,
SW3,SPST,GaudiLabsFootPrints:Switch_On-On,,1,,$0.00,,
U2,HV507,GaudiLabsFootPrints:PQFP-80_14x20mm_Pitch0.8mm,,1,$11.19,$11.19,,https://www.mouser.com/ProductDetail/Microchip-Technology/HV507PG-G?qs=%2fha2pyFadugnznwrVARrj2RTQqjOKw3s9V14wIlHPIA%3d
U3,ARDUINO_MICRO,GaudiLabsFootPrints:ARDUINO_MICRO_SMD,,1,$3.52,$3.52,ACTUAL,https://www.mouser.com/ProductDetail/Microchip-Technology-Atmel/ATMEGA32U4-AU?qs=sGAEpiMZZMvAvBNgSS9Lqh1wBIpnYT9c
U6,MCP6002,GaudiLabsFootPrints:SO08,,1,$2.65,$2.65,,https://www.mouser.com/ProductDetail/Microchip-Technology/MCP6002T-I-MS?qs=sGAEpiMZZMsUzhEcHltCuTLU3lZD2%2fh8
,,,,,,,,
,,,,,TOTAL,$31.36,,
